OID_,unit,lat,lon
80,"CIAR-1,1.8",-122.690310960000005,48.586786640000000
81,"CIAR-1,1.9",-122.681853739999994,48.593042570000001
82,"SIAR-1,1.1",-122.829385669999994,48.325111720000002
83,"SIAR-2,2.1",-122.729545939999994,48.292946460000003
84,"SIAR-2,2.2",-122.757141500000003,48.255142579999998
85,"SIAR-3,3.1",-122.768037250000006,48.233646579999998
86,"SIAR-3,3.2",-122.746784270000006,48.208163130000003
87,"SIAR-1,1.2",-122.851408489999997,48.319260280000002
88,"SIAR-1,1.3",-122.825163680000003,48.320835709999997
89,"SIAR-1,1.4",-122.853383199999996,48.258730229999998
90,1.1,-122.793741560000001,48.146647459999997
91,1.2,-122.851709339999999,48.137906800000003
92,2.1,-122.889070279999999,48.113671789999998
93,2.2,-122.927537990000005,48.101082669999997
94,2.3,-122.978317860000004,48.105176680000000
95,2.4,-122.923432950000006,48.117629649999998
96,2.5,-122.923236149999994,48.139555790000003
97,3.1,-123.018814599999999,48.085070670000000
98,3.2,-123.062941129999999,48.119548850000001
99,4.1,-123.119095310000006,48.160435900000003
100,4.2,-123.119621719999998,48.192913779999998
101,4.3,-123.190072819999997,48.162321749999997
102,5.1,-123.250268079999998,48.127898680000001
103,5.2,-123.318586060000001,48.125527949999999
104,6.1,-123.375785559999997,48.125353810000000
105,6.2,-123.410744039999997,48.152989349999999
106,7.1,-123.489690089999996,48.147255819999998
107,7.2,-123.548069369999993,48.158700189999998
108,7.3,-123.598492149999998,48.150340759999999
109,8.1,-123.663533490000006,48.172288930000001
110,8.2,-123.712722749999998,48.158987590000002
111,8.3,-123.734023289999996,48.164609530000000
112,8.4,-123.726534490000006,48.169780209999999
113,9.1,-123.779462679999995,48.165071019999999
115,9.3,-123.850269310000002,48.166333020000003
116,10.1,-123.887365959999997,48.165371460000003
117,10.2,-123.919936250000006,48.167619639999998
118,10.3,-123.938437879999995,48.172258650000003
119,10.4,-123.954159700000005,48.177492569999998
120,10.5,-123.975060659999997,48.172942229999997
121,10.6,-124.005025380000006,48.177481989999997
122,11.1,-124.035081980000001,48.187674319999999
123,11.2,-124.082509130000005,48.201856720000002
124,11.3,-124.101711539999997,48.223767430000002
125,12.1,-124.185381090000007,48.253405039999997
126,13.1,-124.281682129999993,48.261176700000000
127,13.2,-124.308738750000003,48.289636350000002
128,14.1,-124.409379450000003,48.313244220000001
129,15.1,-124.485911320000000,48.345076829999996
130,15.2,-124.528167780000004,48.365644310000000
131,15.3,-124.571794159999996,48.378150020000000
132,15.4,-124.593898220000000,48.388558449999998
133,16.1,-124.624020150000007,48.368580899999998
134,16.2,-124.662082060000003,48.403391700000000
135,16.3,-124.742119849999995,48.407546300000000
136,16.4,-124.736062980000000,48.368732899999998
137,17.1,-124.694504600000002,48.340825580000001
138,17.2,-124.663226910000006,48.319138700000003
139,17.3,-124.701859119999995,48.293196780000002
140,18.1,-124.725572749999998,48.246345179999999
141,18.2,-124.729827810000003,48.204243400000003
142,19.1,-124.776968440000005,48.168054599999998
143,19.2,-124.731391840000001,48.108703179999999
144,20.1,-124.721630540000007,48.058673249999998
145,20.2,-124.711721769999997,48.012413530000003
146,21.1,-124.708548309999998,47.974858230000002
147,21.2,-124.687075170000000,47.925965329999997
148,22.1,-124.647669070000006,47.875397210000003
149,22.2,-124.597124379999997,47.843759390000002
150,23.1,-124.551288430000000,47.811756690000003
151,23.2,-124.504249329999993,47.786102399999997
152,25.2,-124.482342259999996,47.677863889999998
153,24.1,-124.480794660000001,47.751325940000001
154,24.2,-124.432092060000002,47.720808630000001
155,25.1,-124.412270750000005,47.646767179999998
156,26.1,-124.398484269999997,47.563580660000000
157,27.1,-124.390487769999993,47.485580480000003
158,28.1,-124.379252500000007,47.394230569999998
159,29.1,-124.324236080000006,47.308764770000003
160,30.1,-124.280641320000001,47.229336330000002
161,31.1,-124.252319760000006,47.146728400000001
162,32.1,-124.236098659999996,47.059334180000000
163,33.1,-124.233063740000006,46.966706270000003
164,34.1,-124.201929320000005,46.875380120000003
165,35.1,-124.179287970000004,46.796283369999998
166,36.1,-124.162472539999996,46.710696489999997
167,37.1,-124.146002460000005,46.619048700000000
168,38.1,-124.135028439999999,46.530782309999999
169,39.1,-124.128349170000007,46.445069680000003
170,40.1,-124.123980320000001,46.354721890000000
171,41.1,-124.124484170000002,46.268493790000001
172,sqx,-122.895666960000000,47.167670270000002
173,brs,-122.880019619999999,47.161974409999999
174,dvl,-122.761200470000006,47.166933600000000
175,fox,-122.589045540000001,47.232958709999998
176,sal,-122.530768409999993,47.295776269999998
177,day,-122.564362630000005,47.237293409999999
178,owb,-122.533890000000000,47.317519500000003
179,lip,-122.397913230000000,47.534585340000000
180,vhe,-122.447673039999998,47.478599959999997
181,mag,-122.401099079999995,47.631422659999998
182,wng,-122.488301629999995,47.615814080000000
183,jef,-122.475293039999997,47.744509489999999
184,han,-122.557567460000001,47.920666769999997
